 engine bench mean min max variance standard-deviation
rhino-nojit mandelbrot 304816.22222222225 301467.0 308304.0 4587907.061728395 2141.940022906429
ch-jit n-body 206.0 202.0 216.0 19.75 4.444097208657794
ch-nojit n-body 7725.375 7713.0 7753.0 162.484375 12.746935906326666
d8-d8 n-body 108.125 107.0 110.0 0.859375 0.9270248108869579
d8-d8 n-body 4051.5555555555557 4028.0 4089.0 349.13580246913585 18.685176008513697
duk n-body 10014.333333333334 9953.0 10068.0 1181.333333333333 34.370530012400636
espruino n-body 380481.44444444444 379591.0 381494.0 435428.69135802466 659.8702079636757
hermes-gengc n-body 280539.77777777775 280307.0 280829.0 30020.617283950618 173.26458750694158
hermes-hades n-body 157436.44444444444 157083.0 157755.0 37740.02469135802 194.26791987190788
hermes-malloc n-body 158165.88888888888 156387.0 160856.0 1882455.6543209876 1372.0261128422403
jerry-512k n-body 12209.777777777777 12004.0 12595.0 33345.5061728395 182.60751948602638
jerry-6m n-body 13838.888888888889 13513.0 14167.0 69983.43209876542 264.5438188632753
js-24-js n-body 138.25 138.0 139.0 0.1875 0.4330127018922193
js-24-js n-body 11577.0 11200.0 11952.0 103207.55555555556 321.25932757751264
js-52-js n-body 95.5 95.0 96.0 0.25 0.5
js-52-js n-body 12310.777777777777 12162.0 12632.0 29771.061728395063 172.54292720478304
jsc-jsc n-body 161.625 160.0 166.0 3.484375 1.8666480653835098
jsc-jsc n-body 2298.1111111111113 2286.0 2308.0 53.87654320987653 7.340064251072775
js-js n-body 1670.4444444444443 1652.0 1699.0 182.0246913580247 13.49165265480937
js-js n-body 1673.6666666666667 1649.0 1705.0 318.8888888888889 17.857460314638498
mujs n-body 14658.666666666666 14531.0 14871.0 9281.333333333334 96.33967683843107
node-node n-body 139.625 139.0 141.0 0.734375 0.8569568250501305
node-node n-body 4025.222222222222 3998.0 4075.0 687.9506172839506 26.22881273111596
qjs n-body 3441.777777777778 3285.0 3610.0 13226.395061728394 115.00606532582702
rhino-jit n-body 4167.555555555556 4081.0 4281.0 3704.469135802469 60.86435028653858
rhino-nojit n-body 365966.375 364861.0 368352.0 1127913.234375 1062.032595721525
ch-jit spectral-norm 283.55555555555554 265.0 296.0 124.91358024691357 11.176474410426284
ch-nojit spectral-norm 21449.444444444445 21203.0 21840.0 55619.80246913581 235.83850930061402
d8-d8 spectral-norm 176.375 176.0 177.0 0.234375 0.4841229182759271
d8-d8 spectral-norm 5927.888888888889 5906.0 5941.0 98.54320987654322 9.926893264085356
duk spectral-norm 13811.0 12825.0 14463.0 264863.55555555556 514.6489634260964
espruino spectral-norm 2352938.888888889 2349280.0 2356580.0 5275920.987654321 2296.9373059912455
hermes-gengc spectral-norm 160428.88888888888 159982.0 161281.0 217218.32098765433 466.0668632156274
hermes-hades spectral-norm 160461.125 160184.0 160873.0 44423.109375 210.7679040437609
hermes-malloc spectral-norm 161928.22222222222 161447.0 163238.0 353001.06172839506 594.138924602988
jerry-512k spectral-norm 16767.0 16390.0 17528.0 246791.77777777778 496.7814185109763
jerry-6m spectral-norm 15514.666666666666 15193.0 16556.0 302996.0 550.4507244068265
js-24-js spectral-norm 165.875 165.0 167.0 0.359375 0.5994789404140899
js-24-js spectral-norm 14641.111111111111 13995.0 15574.0 252785.20987654317 502.7774953958691
js-52-js spectral-norm 188.625 188.0 190.0 0.484375 0.6959705453537527
js-52-js spectral-norm 15450.444444444445 15131.0 16034.0 100917.58024691358 317.67527484353195
jsc-jsc spectral-norm 194.875 192.0 200.0 8.609375 2.9341736485763756
jsc-jsc spectral-norm 6926.777777777777 6922.0 6935.0 19.95061728395062 4.46661138716484
js-js spectral-norm 1118.3333333333333 1097.0 1132.0 115.55555555555559 10.7496769977314
js-js spectral-norm 1135.888888888889 1107.0 1155.0 256.54320987654324 16.016966313148792
mujs spectral-norm 32186.75 31849.0 32616.0 43083.9375 207.56670614527755
node-node spectral-norm 216.375 216.0 217.0 0.234375 0.4841229182759271
node-node spectral-norm 5864.625 5850.0 5871.0 40.484375 6.362733296312206
qjs spectral-norm 5541.375 5528.0 5549.0 41.734375 6.460214779711275
rhino-jit spectral-norm 4092.625 4068.0 4126.0 398.984375 19.974593237410367
rhino-nojit spectral-norm 497209.6666666667 490006.0 502994.0 14434533.777777778 3799.280692154474
ch-jit 3d-cube 763.8888888888889 720.0 789.0 573.8765432098766 23.95572046943854
ch-nojit 3d-cube 9856.222222222223 9826.0 9888.0 353.72839506172835 18.80766851743534
d8-d8 3d-cube 200.875 200.0 202.0 0.359375 0.5994789404140899
d8-d8 3d-cube 6178.111111111111 6156.0 6215.0 363.6543209876544 19.069722624822166
duk 3d-cube 5158.777777777777 5006.0 5517.0 33267.06172839506 182.39260327215865
espruino 3d-cube 125787.44444444444 125546.0 126102.0 32870.02469135803 181.30092302952576
hermes-gengc 3d-cube 107120.44444444444 106827.0 107626.0 49763.580246913574 223.07752071177762
hermes-hades 3d-cube 88218.5 88155.0 88290.0 1973.75 44.426906261858925
hermes-malloc 3d-cube 89270.75 89110.0 89419.0 9486.9375 97.40091118670297
jerry-512k 3d-cube 16194.222222222223 15704.0 17185.0 450314.8395061728 671.055019731
jerry-6m 3d-cube 14954.0 14641.0 15351.0 117735.77777777778 343.1264749006957
js-24-js 3d-cube 571.625 570.0 576.0 3.734375 1.9324531042175384
js-24-js 3d-cube 13731.0 12728.0 14321.0 448351.55555555556 669.5905880129704
js-52-js 3d-cube 170.875 170.0 172.0 0.359375 0.5994789404140899
js-52-js 3d-cube 15048.0 14841.0 15451.0 39777.75 199.44360105052255
jsc-jsc 3d-cube 239.44444444444446 235.0 245.0 15.80246913580247 3.9752319599996264
jsc-jsc 3d-cube 3490.625 3476.0 3501.0 58.984375 7.680128579652817
js-js 3d-cube 2567.777777777778 2416.0 2668.0 5869.283950617284 76.61125211492946
js-js 3d-cube 2521.6666666666665 2331.0 2731.0 19100.222222222223 138.20355358029772
mujs 3d-cube 22667.555555555555 22603.0 22700.0 1029.1358024691356 32.08014654687749
node-node 3d-cube 258.0 257.0 259.0 0.75 0.8660254037844386
node-node 3d-cube 5709.444444444444 5694.0 5743.0 334.0246913580247 18.27634239551297
qjs 3d-cube 10007.222222222223 9972.0 10056.0 855.5061728395062 29.24903712670737
rhino-jit 3d-cube 4293.0 4117.0 4771.0 50130.666666666664 223.89878665742398
rhino-nojit 3d-cube 309626.8888888889 307861.0 311286.0 1302933.2098765431 1141.4609979655647
ch-jit 3d-morph 123.44444444444444 112.0 141.0 118.69135802469135 10.894556348226914
ch-nojit 3d-morph 2422.222222222222 2375.0 2484.0 2628.8395061728393 51.27220988189254
d8-d8 3d-morph 282.375 280.0 288.0 6.484375 2.54644359843292
d8-d8 3d-morph 1848.3333333333333 1835.0 1869.0 161.55555555555557 12.710450643291747
duk 3d-morph 5601.222222222223 5385.0 5745.0 23980.17283950617 154.85532874107423
espruino 3d-morph 17420290.90909091 17403600.0 17442400.0 234620826.44628096 15317.337446380196
hermes-gengc 3d-morph 67764.66666666667 67091.0 68624.0 232803.55555555556 482.49720782151223
hermes-hades 3d-morph 71045.375 70779.0 71299.0 25530.984375 159.78418061560413
hermes-malloc 3d-morph 66898.0 66170.0 68756.0 718170.2222222222 847.4492446289761
jerry-512k 3d-morph 5064.0 4912.0 5387.0 24993.777777777777 158.09420538962766
jerry-6m 3d-morph 4696.875 4691.0 4709.0 35.109375 5.925316447245666
js-24-js 3d-morph 132.5 132.0 133.0 0.25 0.5
js-24-js 3d-morph 4594.111111111111 4233.0 5073.0 114540.09876543209 338.4377324788595
js-52-js 3d-morph 173.25 173.0 174.0 0.1875 0.4330127018922193
js-52-js 3d-morph 4743.555555555556 4669.0 4967.0 11805.358024691357 108.65246442069943
jsc-jsc 3d-morph 590.7777777777778 584.0 601.0 35.95061728395061 5.995883361436462
jsc-jsc 3d-morph 1649.5555555555557 1642.0 1661.0 33.58024691358024 5.794846582402354
js-js 3d-morph 560.5555555555555 543.0 597.0 283.58024691358025 16.8398410596294
js-js 3d-morph 563.7777777777778 544.0 581.0 131.06172839506175 11.448219442125563
mujs 3d-morph 11253.125 11136.0 11428.0 8972.609375 94.72385853099524
node-node 3d-morph 292.22222222222223 291.0 296.0 3.2839506172839505 1.8121673811444545
node-node 3d-morph 1819.0 1757.0 2040.0 12136.0 110.16351483136329
qjs 3d-morph 2587.222222222222 2579.0 2602.0 50.61728395061729 7.1145824860364995
rhino-jit 3d-morph 2569.8888888888887 2506.0 2644.0 1916.9876543209878 43.783417572421044
