engine,bench,pkg-power,time,power
hermes-gengc,ray-tracing,5336.245457,129025.625,0.04135802835
hermes-hades,ray-tracing,2967.376918,71954,0.04123991602
hermes-malloc,ray-tracing,3225.517273,77964.11111,0.0413718213
jerry-512k,ray-tracing,104.6234402,2553.222222,0.04097702084
jerry-6m,ray-tracing,101.7558475,2481.666667,0.04100302787
js-24-jit,ray-tracing,29.58482361,711.875,0.04155901473
js-24-nojit,ray-tracing,38.77370368,939.5555556,0.04126813306
js-52-jit,ray-tracing,43.69786919,1056.333333,0.04136750003
js-52-nojit,ray-tracing,86.29346657,2104.375,0.04100669632
js-jit,ray-tracing,125.4630093,3020,0.04154404282
js-nojit,ray-tracing,126.931193,3133.111111,0.04051282847
jsc-jit,ray-tracing,19.16255379,466.875,0.04104429191
jsc-nojit,ray-tracing,29.059945,712.6666667,0.04077634939
mujs,ray-tracing,206.0947079,4933.625,0.04177348459
node-jit,ray-tracing,20.68365309,518.375,0.0399009464
node-nojit,ray-tracing,23.12269783,574.25,0.04026590828
qjs,ray-tracing,166.3686142,4142.444444,0.04016194216
rhino-jit,ray-tracing,131.5722008,3298.875,0.03988396068
rhino-nojit,ray-tracing,2766.040607,67912.11111,0.04072971024
ch-jit,strconcat,19.11994934,488.875,0.03911009837
ch-nojit,strconcat,27.95061874,711.75,0.03927027572
d8-jit,strconcat,8.507490158,206.125,0.04127345134
d8-nojit,strconcat,12.42689323,301.875,0.04116569187
duk,strconcat,40.82102585,1031.25,0.03958402507
espruino,strconcat,2092.638533,51383.375,0.04072598448
hermes-gengc,strconcat,14820.37355,358716.8889,0.04131495898
hermes-hades,strconcat,1790.586765,43696.75,0.04097757304
hermes-malloc,strconcat,1870.81912,45705.22222,0.04093228365
jerry-512k,strconcat,99.91189003,2559.75,0.03903189375
jerry-6m,strconcat,102.0764503,2613,0.03906484897
js-24-jit,strconcat,23.62800407,572.375,0.04128063608
js-24-nojit,strconcat,32.68363444,784.875,0.04164183397
js-52-jit,strconcat,57.65825653,1418.25,0.04065450839
js-52-nojit,strconcat,97.51952171,2405,0.04054865768
js-jit,strconcat,61.77652317,1503.222222,0.04109606833
js-nojit,strconcat,61.32134501,1492.125,0.04109665411
jsc-jit,strconcat,14.0375434,344.4444444,0.04075415827
jsc-nojit,strconcat,18.90041945,469.8888889,0.04022316742
mujs,strconcat,62.89959717,1543.25,0.04075787926
node-jit,strconcat,12.4496479,309.75,0.04019256789
node-nojit,strconcat,15.46843126,379.7777778,0.0407302169
qjs,strconcat,23.06736565,565.125,0.04081816527
rhino-jit,strconcat,64.33069992,1593.5,0.04037069339
rhino-nojit,strconcat,683.2919651,16838.22222,0.04057981633
ch-jit,loop,1.382659912,40.25,0.03435179906
ch-nojit,loop,23.36056519,614.5,0.0380155658
d8-jit,loop,0.9669155545,43.66666667,0.0221431043
d8-nojit,loop,8.346073151,220.5,0.03785067188
duk,loop,13.58724637,354.375,0.03834143595
espruino,loop,2213.913139,53109.5,0.04168582154
