engine,bench,pkg-power,time,power
jerry-6m,iter-double-linked-list,214.9177517,5324.25,0.0403658265
js-24-jit,iter-double-linked-list,16.35247803,395.875,0.04130717531
js-24-nojit,iter-double-linked-list,82.82598707,2089.222222,0.03964441226
js-52-jit,iter-double-linked-list,22.41274452,560.875,0.03996032008
js-52-nojit,iter-double-linked-list,102.1369341,2527.375,0.04041225939
js-jit,iter-double-linked-list,45.99102444,1136.777778,0.04045735705
js-nojit,iter-double-linked-list,45.58122593,1125.333333,0.04050464389
jsc-jit,iter-double-linked-list,24.1977005,604.75,0.04001273336
jsc-nojit,iter-double-linked-list,65.99231974,1650.625,0.03998020128
mujs,iter-double-linked-list,208.8606567,5325.222222,0.03922102178
node-jit,iter-double-linked-list,12.68438721,320.25,0.03960776645
node-nojit,iter-double-linked-list,35.31954278,897,0.03937518704
qjs,iter-double-linked-list,112.4842122,2804.222222,0.04011244592
rhino-jit,iter-double-linked-list,163.9573212,4133.222222,0.03966816018
rhino-nojit,iter-double-linked-list,8474.275156,206606.3333,0.04101653139
