 engine bench mean min max variance standard-deviation
ch-jit binary-trees 3.056793212890625 1.178985595703125 4.249298095703125 0.9510426102723513 0.9752141355991264
ch-nojit binary-trees 20.180572509765625 19.93280029296875 20.390365600585938 0.01791696815053001 0.13385427953760018
d8-jit binary-trees 0.6730617947048612 0.579681396484375 0.7713165283203125 0.002209223174478537 0.04700237413661715
d8-nojit binary-trees 4.14702033996582 3.9266357421875 4.2579803466796875 0.008566225729737198 0.09255390715543671
duk binary-trees 21.821495056152344 21.580902099609375 22.079391479492188 0.03609740949468687 0.18999318275845287
espruino binary-trees 0.16074371337890625 0.148468017578125 0.173370361328125 0.0001478214981034398 0.012158186464413178
hermes-gengc binary-trees 709.0162506103516 690.392578125 723.3356018066406 102.85933935016186 10.14195934473028
hermes-hades binary-trees 553.3147010803223 550.0053863525391 554.7262725830078 2.240609002634301 1.4968663943833802
hermes-malloc binary-trees 535.8160536024305 530.8995819091797 540.9850463867188 6.2968566623849815 2.5093538336362573
jerry-512k binary-trees 21.43947982788086 21.3404541015625 21.659164428710938 0.0077726136514684185 0.08816242766319686
jerry-6m binary-trees 22.462678909301758 22.386886596679688 22.527069091796875 0.001779092268407112 0.04217928719652707
js-24-jit binary-trees 0.9122348361545138 0.5753021240234375 1.0859527587890625 0.05613393956266435 0.23692602128652807
js-24-nojit binary-trees 14.892969131469727 14.47857666015625 15.439697265625 0.08629821630529477 0.29376558053198604
js-52-jit binary-trees 1.359649658203125 1.2676849365234375 1.400115966796875 0.0026426375326183108 0.0514065903617261
js-52-nojit binary-trees 40.22500991821289 39.885528564453125 40.75044250488281 0.0896748371742433 0.2994575715760804
 js  binary-trees 12.246084213256836 10.959335327148438 13.085586547851562 0.3649896017705032 0.6041436929824752
 js  binary-trees 11.471522013346354 8.745986938476562 13.239990234375 1.5988170258286927 1.2644433660028798
jsc-jit binary-trees 0.8939242892795138 0.532623291015625 1.30322265625 0.09787988226952743 0.31285760701879606
jsc-nojit binary-trees 5.196771621704102 5.09661865234375 5.42376708984375 0.012685356134170434 0.11262928630764928
mujs binary-trees 17.89186668395996 17.60205078125 18.243240356445312 0.03739883162415936 0.1933877752707222
node-jit binary-trees 1.4828830295138888 0.9311676025390625 1.7596282958984375 0.10840998811325357 0.32925672068046474
node-nojit binary-trees 5.070710923936632 4.822601318359375 5.2000274658203125 0.01688299190689936 0.129934567790482
qjs binary-trees 8.023178100585938 7.917999267578125 8.086013793945312 0.0033997834543697536 0.0583076620554259
rhino-jit binary-trees 37.088065253363716 31.150161743164062 40.90101623535156 11.432537120203543 3.3812035017436535
rhino-nojit binary-trees 448.6077999538845 440.4435119628906 456.6921844482422 27.212389692549166 5.216549596481295
ch-jit fannkuch-redux 1.7269954681396484 1.5428314208984375 1.9216461181640625 0.013629729623062303 0.1167464330207236
ch-nojit fannkuch-redux 36.881521224975586 36.61756896972656 37.046844482421875 0.01406124233835726 0.1185801093706582
d8-jit fannkuch-redux 0.7149590386284722 0.49456787109375 0.8586273193359375 0.02517610819964313 0.15866980872126596
d8-nojit fannkuch-redux 17.178685506184895 15.039779663085938 19.739227294921875 1.260804784949869 1.1228556385172
duk fannkuch-redux 24.191347122192383 23.18170166015625 25.141128540039062 0.33202304734368226 0.5762144109128843
espruino fannkuch-redux 3183.2660081651475 3119.340530395508 3214.1209869384766 841.8303915223129 29.014313562831585
hermes-gengc fannkuch-redux 739.298099093967 727.7629089355469 744.0290069580078 27.88077875510157 5.280225256094816
hermes-hades fannkuch-redux 754.5976053873698 751.6177825927734 758.7993316650391 4.516980706455393 2.125318965815577
hermes-malloc fannkuch-redux 728.0289662679037 725.3563995361328 732.1940155029297 4.784884424673186 2.1874378676143436
jerry-512k fannkuch-redux 42.32448387145996 42.11048889160156 42.64695739746094 0.024119220495776972 0.15530363967330893
jerry-6m fannkuch-redux 37.779837714301216 37.31886291503906 38.14207458496094 0.05169227554313379 0.22735935332229856
js-24-jit fannkuch-redux 0.6451280381944444 0.499420166015625 0.86566162109375 0.023094848183524096 0.15196989235873037
js-24-nojit fannkuch-redux 56.579398261176216 53.234375 59.373260498046875 3.5832227910926315 1.8929402502701007
js-52-jit fannkuch-redux 1.2595638699001737 1.1513214111328125 1.3180084228515625 0.003014245938601685 0.05490214876124326
js-52-nojit fannkuch-redux 48.151063707139755 47.62318420410156 49.1707763671875 0.25177679114894547 0.5017736453311846
 js  fannkuch-redux 9.755086263020834 9.182632446289062 10.114303588867188 0.07414862456628019 0.272302450533006
 js  fannkuch-redux 9.426834106445312 9.021224975585938 9.860794067382812 0.0792466985165245 0.2815079013394198
jsc-jit fannkuch-redux 1.2743021647135417 0.7856903076171875 1.6121978759765625 0.10978601086470816 0.33133972122990046
jsc-nojit fannkuch-redux 8.3040771484375 8.230484008789062 8.457626342773438 0.004545380303170532 0.06741943564856155
mujs fannkuch-redux 90.25423346625433 86.61698913574219 94.85560607910156 4.333942276534889 2.0818122577540197
node-jit fannkuch-redux 1.6221483018663194 1.0152130126953125 1.87335205078125 0.12014241441279465 0.3466156580606171
node-nojit fannkuch-redux 17.571736653645832 16.250747680664062 18.496917724609375 0.3778952335317929 0.6147318387165195
qjs fannkuch-redux 15.338541030883789 14.833740234375 16.0560302734375 0.15367337048155605 0.392011951962636
rhino-jit fannkuch-redux 50.54041714138455 47.890380859375 54.209197998046875 7.261808918001429 2.694774372373581
rhino-nojit fannkuch-redux 1008.9814622667101 990.1379852294922 1031.7433319091797 131.7837015583617 11.479708252319034
ch-jit mandelbrot 2.9688282012939453 2.818878173828125 3.2664642333984375 0.018369197929132497 0.13553301416677965
ch-nojit mandelbrot 103.0652584499783 101.3101806640625 104.81358337402344 1.8979392338222187 1.377657153947316
d8-jit mandelbrot 7.9769337972005205 7.89324951171875 8.027084350585938 0.0015452905144128534 0.03931018334239683
d8-nojit mandelbrot 44.06162855360243 43.134063720703125 45.540313720703125 0.8863542364208878 0.9414638795093988
duk mandelbrot 332.6656680636936 324.6162567138672 338.0213623046875 15.322720901408221 3.9144247216427885
espruino mandelbrot 3699.4149894714355 3631.8379974365234 3750.569366455078 1152.0581469283643 33.941982071298725
hermes-gengc mandelbrot 5795.825160980225 5772.789642333984 5812.08723449707 115.31952956870373 10.738693103385707
hermes-hades mandelbrot 3943.5674024309433 3878.615921020508 3981.5880737304688 904.5752908118278 30.076158179059835
hermes-malloc mandelbrot 4017.0796642303467 3927.3323822021484 4094.5402069091797 2845.5628430134057 53.343817289479816
jerry-512k mandelbrot 113.03370666503906 110.82460021972656 114.98554992675781 1.122785583552387 1.059615771660835
jerry-6m mandelbrot 185.80551995171442 183.853271484375 187.2310333251953 1.1785814986207788 1.0856249345979387
js-24-jit mandelbrot 1.6989288330078125 1.1274871826171875 1.9188385009765625 0.09421635434652369 0.30694682657835654
js-24-nojit mandelbrot 174.8927968343099 169.28115844726562 181.8642578125 15.530945897050616 3.9409321101803587
js-52-jit mandelbrot 1.5985955132378473 1.0671539306640625 1.8101043701171875 0.08704290689647566 0.29503034911085957
js-52-nojit mandelbrot 259.2376480102539 251.47616577148438 263.4815368652344 17.981473472726066 4.240456752842324
 js  mandelbrot 23.905080159505207 23.324142456054688 24.419601440429688 0.10782902444609338 0.32837330044644825
 js  mandelbrot 24.140928268432617 23.774703979492188 24.409271240234375 0.04089700770782656 0.2022300860599791
jsc-jit mandelbrot 10.444087982177734 10.33880615234375 10.516204833984375 0.0038056024786783382 0.061689565395440564
jsc-nojit mandelbrot 56.11998176574707 54.8740234375 57.82643127441406 0.5677579665461963 0.7534971576231699
mujs mandelbrot 258.52159118652344 255.01443481445312 263.37074279785156 7.614751250379616 2.759483873911862
node-jit mandelbrot 1.7418348524305556 1.092529296875 1.9792938232421875 0.12716500670361666 0.3566020284625659
node-nojit mandelbrot 28.63528823852539 28.3330078125 28.95404052734375 0.02925203826453071 0.171032272581904
qjs mandelbrot 70.66429816351996 69.69990539550781 72.49418640136719 0.8026490632709069 0.8959068384999117
rhino-jit mandelbrot 80.6478042602539 78.85945129394531 82.21818542480469 1.328427623026073 1.1525743459864413
rhino-nojit mandelbrot 8667.80484199524 8488.478591918945 8840.500534057617 11907.664301200912 109.12224475880667
ch-jit n-body 5.636375427246094 5.588714599609375 5.6744537353515625 0.0007718986016698182 0.027783063216100166
ch-nojit n-body 212.2081527709961 211.1232147216797 213.1486358642578 0.4671765536768362 0.6835031482567115
d8-jit n-body 2.7890387641059027 2.6307525634765625 2.9376373291015625 0.015248699015995234 0.12348562270967108
d8-nojit n-body 121.12030877007379 117.14692687988281 123.31437683105469 3.3223321746781838 1.822726577048292
duk n-body 282.50079917907715 275.55787658691406 288.1031951904297 12.987943452779291 3.6038789453558633
espruino n-body 11864.082288469586 11850.625930786133 11892.778060913086 179.9143769385445 13.413216502336212
hermes-gengc n-body 8776.683316911969 8743.762176513672 8791.22900390625 248.1202801450973 15.751834183519623
hermes-hades n-body 4964.287510463169 4946.65495300293 4975.703674316406 86.90889805766315 9.32249419724481
hermes-malloc n-body 4940.934597439236 4776.018142700195 5023.010070800781 5441.004158794817 73.76316261383332
jerry-512k n-body 340.2757568359375 333.4374542236328 351.83424377441406 31.013136187878747 5.568943902382098
jerry-6m n-body 384.5134963989258 370.7130126953125 393.2911682128906 47.24493121303385 6.873494832545803
js-24-jit n-body 3.5629408094618054 3.12957763671875 3.75653076171875 0.063342118193108 0.2516786009836911
js-24-nojit n-body 324.4285244411892 308.3367919921875 343.1253356933594 127.85743493539063 11.30740619839009
js-52-jit n-body 2.760804918077257 1.9002838134765625 2.990936279296875 0.14702910223377894 0.38344374063710956
js-52-nojit n-body 361.8679029676649 352.1956329345703 369.34214782714844 24.833523635775496 4.983324556536077
 js  n-body 45.56190829806857 44.84217834472656 46.09197998046875 0.13524133090021803 0.36775172453738136
 js  n-body 45.58953285217285 44.931549072265625 46.17657470703125 0.1704232919109927 0.4128235602663597
jsc-jit n-body 4.379859924316406 4.3352508544921875 4.4261016845703125 0.0012978258891962469 0.036025350646402415
jsc-nojit n-body 60.81687249077691 59.211578369140625 62.677032470703125 0.7598944089122485 0.8717192259622639
mujs n-body 405.6017083062066 400.74578857421875 412.60650634765625 15.486715758173371 3.9353164749703895
node-jit n-body 3.598025851779514 2.76873779296875 3.8831634521484375 0.15973283137183314 0.3996658996860167
node-nojit n-body 117.9157952202691 115.88887023925781 118.97720336914062 0.830656974375202 0.9114038481239818
qjs n-body 98.93359883626302 96.30375671386719 102.5655517578125 5.697101414876266 2.3868601582154465
rhino-jit n-body 124.96405707465277 120.46412658691406 128.36325073242188 5.61237394893082 2.369044944472523
rhino-nojit n-body 10181.56549835205 9945.776657104492 10430.351913452148 16129.459420651896 127.00180872984406
ch-jit spectral-norm 10.09092903137207 9.531723022460938 11.251113891601562 0.28256672425413853 0.5315700558290869
ch-nojit spectral-norm 610.7444034152561 600.1806945800781 627.7786102294922 78.56959506319721 8.863949179863184
d8-jit spectral-norm 6.514625549316406 5.9381866455078125 6.615509033203125 0.0476668780320324 0.2183274559738935
d8-nojit spectral-norm 169.1870354546441 168.0740509033203 169.98324584960938 0.4073240132025087 0.6382194083561771
duk spectral-norm 410.7201334635417 394.0877685546875 427.0901641845703 86.69937068912097 9.31124968460845
espruino spectral-norm 6995.054765701294 6626.942718505859 7464.443801879883 56413.15830919818 237.51454336355528
hermes-gengc spectral-norm 5060.900408063616 4980.344329833984 5091.992218017578 1159.9925235703074 34.05866297390882
hermes-hades spectral-norm 5141.740369524275 5091.027008056641 5165.612823486328 512.1714553887842 22.63120534546899
hermes-malloc spectral-norm 5113.557756696428 5061.810272216797 5144.410568237305 567.7605064475662 23.82772558276526
jerry-512k spectral-norm 468.63597297668457 460.0232696533203 474.94236755371094 28.625509038243763 5.350281211136828
jerry-6m spectral-norm 456.3299916585286 427.85585021972656 476.4906311035156 271.27004439419966 16.470277605256072
js-24-jit spectral-norm 6.791110992431641 6.77398681640625 6.8148345947265625 0.00016257456445600837 0.012750473107144236
js-24-nojit spectral-norm 410.85425143771704 376.01959228515625 448.4707489013672 465.87955228072576 21.584243148202482
js-52-jit spectral-norm 7.543527603149414 7.5203399658203125 7.5822601318359375 0.00039587559513165615 0.01989662270667201
js-52-nojit spectral-norm 466.3277859157986 455.6191864013672 486.4600830078125 99.1451119670219 9.957163851570481
 js  spectral-norm 31.174647013346355 30.785919189453125 31.890777587890625 0.12066928799160655 0.34737485227288195
 js  spectral-norm 31.132585313585068 29.877334594726562 32.392486572265625 0.4640248320295396 0.6811936817304897
jsc-jit spectral-norm 7.7139892578125 7.5958709716796875 7.8239593505859375 0.004412954569690757 0.06643007278101355
jsc-nojit spectral-norm 201.1980675591363 199.7391815185547 202.48809814453125 0.5327623692502119 0.7299057262758061
mujs spectral-norm 884.4779968261719 861.9719085693359 903.1631469726562 163.16714400994695 12.773689522215065
node-jit spectral-norm 7.711769104003906 7.6870880126953125 7.76300048828125 0.0005212070536799729 0.022829959563695528
node-nojit spectral-norm 168.32089805603027 167.06552124023438 169.87982177734375 0.8191143804542662 0.9050493801192652
qjs spectral-norm 159.31900872124567 156.74200439453125 162.60205078125 4.334969493876683 2.0820589554276996
rhino-jit spectral-norm 113.06427849663629 109.83305358886719 116.224365234375 2.8572577149664733 1.6903424845179966
rhino-nojit spectral-norm 13704.263196672711 13431.177963256836 13834.567092895508 14374.798844658932 119.89494920412174
ch-jit 3d-cube 17.93655225965712 17.249053955078125 18.563766479492188 0.12156240209753132 0.3486580016255633
ch-nojit 3d-cube 257.4735507965088 255.2624969482422 259.50254821777344 1.8973508969029353 1.3774436093368525
d8-jit 3d-cube 6.320890426635742 6.1737060546875 6.40118408203125 0.006625795180298155 0.08139898758767307
d8-nojit 3d-cube 185.83683586120605 184.1285400390625 186.809814453125 0.7185565047220734 0.8476771229200853
duk 3d-cube 149.78123982747397 143.6590576171875 157.28977966308594 24.165001531855925 4.915791038261892
espruino 3d-cube 3923.842821121216 3899.1539306640625 3945.9829711914062 194.188188073309 13.935142197814452
hermes-gengc 3d-cube 3315.8177250453405 3288.858428955078 3332.1827545166016 149.00828969650615 12.206895170210407
hermes-hades 3d-cube 2789.474216037326 2779.4134063720703 2799.886993408203 43.29904900541828 6.580201289126213
hermes-malloc 3d-cube 2712.3846130371094 2701.2808380126953 2726.241470336914 49.41277329501463 7.029421974459538
jerry-512k 3d-cube 455.22835456000433 424.0689392089844 478.14703369140625 423.67366552638055 20.5833346551617
jerry-6m 3d-cube 420.0395863850911 406.4996795654297 439.10198974609375 116.81130536604259 10.807927894191494
js-24-jit 3d-cube 17.066904067993164 16.488845825195312 18.592437744140625 0.4206000076919736 0.6485368206138905
js-24-nojit 3d-cube 367.34444003634985 341.3934326171875 399.11082458496094 257.1016633703982 16.034390021775017
js-52-jit 3d-cube 4.656494140625 3.85345458984375 4.9156036376953125 0.16427752582563293 0.40531164037766415
js-52-nojit 3d-cube 441.346433851454 433.73680114746094 447.10186767578125 16.669309124063105 4.082806525426243
 js  3d-cube 74.84123399522569 71.17420959472656 78.976806640625 7.132164235974169 2.6706112101865687
 js  3d-cube 75.14619784884982 72.57536315917969 79.13861083984375 5.931755522720194 2.4355195590921035
jsc-jit 3d-cube 6.47419908311632 6.3791656494140625 6.5757598876953125 0.004967140005096609 0.07047793984713663
jsc-nojit 3d-cube 96.75931358337402 96.11860656738281 97.3499755859375 0.11661561700384482 0.34149028830091904
mujs 3d-cube 646.865232679579 637.8331909179688 653.2189025878906 21.26473091927897 4.611369744368692
node-jit 3d-cube 7.57014274597168 7.204681396484375 7.6691131591796875 0.019894616121746367 0.14104827585527718
node-nojit 3d-cube 168.72763061523438 167.4383087158203 169.7960662841797 0.7589575664864646 0.871181706928276
